,SEASON_DESCRIPTION,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),B,BVic,BYam,H3N2v
71,Season 2016-17,Mississippi,355.0,9.0,143.0,1.0,15.0,20.0,0.0
72,Season 2016-17,Missouri,363.0,3.0,141.0,0.0,6.0,9.0,0.0
73,Season 2016-17,Montana,739.0,36.0,314.0,4.0,0.0,37.0,0.0
74,Season 2016-17,Nebraska,280.0,5.0,111.0,8.0,9.0,12.0,0.0
75,Season 2016-17,Nevada,568.0,13.0,270.0,5.0,2.0,43.0,0.0
76,Season 2016-17,New Hampshire,410.0,2.0,218.0,1.0,4.0,46.0,0.0
77,Season 2016-17,New Jersey,668.0,4.0,285.0,74.0,2.0,3.0,0.0
78,Season 2016-17,New Mexico,1818.0,14.0,481.0,2.0,6.0,58.0,0.0
79,Season 2016-17,New York,2581.0,10.0,857.0,56.0,39.0,164.0,0.0
80,Season 2016-17,North Carolina,901.0,39.0,285.0,8.0,28.0,60.0,0.0
81,Season 2016-17,North Dakota,1029.0,26.0,351.0,10.0,37.0,278.0,1.0
82,Season 2016-17,Ohio,1431.0,13.0,832.0,31.0,64.0,173.0,15.0
83,Season 2016-17,Oklahoma,824.0,27.0,220.0,18.0,3.0,62.0,0.0
84,Season 2016-17,Oregon,457.0,1.0,246.0,53.0,0.0,0.0,0.0
85,Season 2016-17,Pennsylvania,1382.0,4.0,533.0,8.0,49.0,50.0,1.0
86,Season 2016-17,Rhode Island,447.0,3.0,143.0,0.0,3.0,66.0,0.0
87,Season 2016-17,South Carolina,1077.0,10.0,263.0,22.0,55.0,36.0,0.0
88,Season 2016-17,South Dakota,1275.0,22.0,479.0,16.0,64.0,206.0,0.0
89,Season 2016-17,Tennessee,2601.0,24.0,350.0,135.0,3.0,9.0,0.0
90,Season 2016-17,Texas,1713.0,49.0,397.0,51.0,35.0,115.0,0.0
91,Season 2016-17,Utah,1358.0,8.0,863.0,7.0,45.0,128.0,0.0
92,Season 2016-17,Vermont,371.0,3.0,233.0,51.0,0.0,2.0,0.0
93,Season 2016-17,Virginia,1662.0,17.0,677.0,31.0,26.0,138.0,0.0
94,Season 2016-17,Washington,1076.0,18.0,534.0,19.0,9.0,53.0,0.0
95,Season 2016-17,West Virginia,729.0,2.0,360.0,127.0,0.0,1.0,0.0
96,Season 2016-17,Wisconsin,4887.0,31.0,1011.0,6.0,86.0,261.0,0.0
97,Season 2016-17,Wyoming,839.0,2.0,273.0,12.0,1.0,29.0,0.0
98,Season 2017-18,Alabama,823.0,131.0,204.0,7.0,4.0,66.0,0.0
99,Season 2017-18,Alaska,3452.0,173.0,651.0,347.0,1.0,5.0,0.0
100,Season 2017-18,Arizona,3366.0,180.0,2055.0,8.0,197.0,720.0,0.0
101,Season 2017-18,Arkansas,413.0,21.0,101.0,19.0,0.0,43.0,0.0
102,Season 2017-18,California,15664.0,661.0,4664.0,702.0,282.0,1289.0,0.0
103,Season 2017-18,Colorado,1087.0,54.0,501.0,19.0,2.0,162.0,0.0
104,Season 2017-18,Connecticut,2259.0,161.0,887.0,1.0,47.0,423.0,0.0
105,Season 2017-18,Delaware,2822.0,163.0,382.0,24.0,100.0,206.0,0.0
106,Season 2017-18,Georgia,2051.0,261.0,582.0,38.0,6.0,254.0,0.0
107,Season 2017-18,Hawaii,3315.0,102.0,1072.0,8.0,42.0,500.0,0.0
108,Season 2017-18,Idaho,1273.0,94.0,477.0,6.0,9.0,435.0,0.0
109,Season 2017-18,Illinois,3475.0,144.0,722.0,22.0,1.0,398.0,0.0
110,Season 2017-18,Indiana,1307.0,126.0,562.0,11.0,14.0,233.0,1.0
111,Season 2017-18,Iowa,2524.0,60.0,980.0,2.0,2.0,480.0,1.0
112,Season 2017-18,Kansas,229.0,23.0,54.0,21.0,2.0,15.0,0.0
113,Season 2017-18,Kentucky,1082.0,104.0,377.0,14.0,13.0,297.0,0.0
114,Season 2017-18,Louisiana,1991.0,135.0,304.0,48.0,3.0,124.0,0.0
