,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H1),B,H3N2v,Season
89,Tennessee,846.0,11.0,0.0,3.0,0.0,Season 2011-12
90,Texas,23388.0,330.0,0.0,230.0,0.0,Season 2011-12
91,Utah,13706.0,1013.0,0.0,87.0,0.0,Season 2011-12
92,Vermont,53.0,3.0,0.0,1.0,0.0,Season 2011-12
93,Virginia,2408.0,12.0,0.0,19.0,0.0,Season 2011-12
94,Washington,12023.0,199.0,0.0,731.0,0.0,Season 2011-12
95,West Virginia,6805.0,10.0,0.0,4.0,0.0,Season 2011-12
96,Wisconsin,4430.0,56.0,0.0,161.0,0.0,Season 2011-12
97,Wyoming,613.0,22.0,0.0,5.0,0.0,Season 2011-12
98,Alabama,3442.0,7.0,0.0,76.0,0.0,Season 2012-13
99,Alaska,3879.0,10.0,0.0,245.0,0.0,Season 2012-13
100,Arizona,5458.0,68.0,0.0,468.0,0.0,Season 2012-13
101,Arkansas,2149.0,12.0,0.0,148.0,0.0,Season 2012-13
102,California,16782.0,91.0,0.0,561.0,0.0,Season 2012-13
103,Colorado,15837.0,121.0,0.0,899.0,0.0,Season 2012-13
104,Connecticut,10458.0,34.0,0.0,308.0,0.0,Season 2012-13
105,Delaware,4108.0,38.0,0.0,492.0,0.0,Season 2012-13
106,Georgia,33724.0,49.0,0.0,2114.0,0.0,Season 2012-13
107,Hawaii,16891.0,85.0,0.0,1371.0,1.0,Season 2012-13
108,Idaho,669.0,4.0,0.0,172.0,0.0,Season 2012-13
109,Illinois,3377.0,6.0,0.0,89.0,3.0,Season 2012-13
110,Indiana,3839.0,40.0,0.0,164.0,109.0,Season 2012-13
111,Iowa,4456.0,17.0,0.0,386.0,1.0,Season 2012-13
112,Kansas,115.0,0.0,0.0,21.0,0.0,Season 2012-13
113,Kentucky,1888.0,9.0,0.0,85.0,0.0,Season 2012-13
114,Louisiana,7710.0,7.0,0.0,373.0,0.0,Season 2012-13
115,Maine,1060.0,19.0,0.0,18.0,0.0,Season 2012-13
116,Maryland,6206.0,69.0,0.0,593.0,12.0,Season 2012-13
117,Massachusetts,1489.0,18.0,0.0,99.0,0.0,Season 2012-13
118,Michigan,994.0,23.0,0.0,125.0,6.0,Season 2012-13
119,Minnesota,10092.0,53.0,0.0,681.0,3.0,Season 2012-13
120,Mississippi,1850.0,7.0,0.0,84.0,0.0,Season 2012-13
121,Missouri,12789.0,20.0,0.0,373.0,0.0,Season 2012-13
122,Montana,3366.0,4.0,0.0,218.0,0.0,Season 2012-13
123,Nebraska,2564.0,11.0,0.0,257.0,0.0,Season 2012-13
124,Nevada,1634.0,18.0,0.0,277.0,0.0,Season 2012-13
125,New Hampshire,573.0,5.0,0.0,13.0,0.0,Season 2012-13
126,New Jersey,0.0,0.0,0.0,0.0,0.0,Season 2012-13
127,New Mexico,1066.0,19.0,0.0,128.0,0.0,Season 2012-13
128,New York,37529.0,153.0,0.0,1738.0,0.0,Season 2012-13
129,North Carolina,876.0,12.0,0.0,92.0,0.0,Season 2012-13
130,North Dakota,4705.0,12.0,0.0,315.0,0.0,Season 2012-13
131,Ohio,3998.0,7.0,0.0,303.0,107.0,Season 2012-13
132,Oklahoma,5461.0,8.0,0.0,265.0,0.0,Season 2012-13
133,Oregon,1471.0,21.0,0.0,94.0,0.0,Season 2012-13
134,Pennsylvania,10208.0,120.0,0.0,720.0,12.0,Season 2012-13
