,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
227,North Carolina,10948.0,567911.0,14.0,0.0,,,,3.0,8340.0,246.0,0.0,0.019277668507917615,0.0,,,,0.00035971223021582735,0.029496402877697843,0.0
228,North Dakota,1098.0,68972.0,14.0,0.0,,,,1.0,1160.0,118.0,0.0,0.015919503566664734,0.0,,,,0.0008620689655172414,0.10172413793103448,0.0
229,Ohio,7046.0,643626.0,14.0,0.0,,,,2.0,23241.0,534.0,1.0,0.010947351412155507,0.0,,,,8.6054816918377e-05,0.02297663611720666,4.30274084591885e-05
230,Oklahoma,4406.0,133456.0,14.0,0.0,,,,0.0,10472.0,306.0,0.0,0.03301462654357991,0.0,,,,0.0,0.02922077922077922,0.0
231,Oregon,1054.0,139599.0,14.0,0.0,,,,1.0,10904.0,179.0,0.0,0.007550197350983889,0.0,,,,9.170946441672781e-05,0.016415994130594278,0.0
232,Pennsylvania,13434.0,675692.0,14.0,0.0,,,,5.0,25244.0,434.0,0.0,0.01988183965475394,0.0,,,,0.00019806686737442562,0.01719220408810014,0.0
233,Rhode Island,1966.0,287483.0,14.0,0.0,,,,0.0,0.0,0.0,0.0,0.006838665242814358,,,,,,,
234,South Carolina,2533.0,248766.0,14.0,0.0,,,,0.0,14166.0,335.0,0.0,0.010182259633551209,0.0,,,,0.0,0.023648171678667233,0.0
235,South Dakota,3685.0,304162.0,14.0,0.0,,,,2.0,9952.0,432.0,0.0,0.012115254371025966,0.0,,,,0.00020096463022508038,0.04340836012861737,0.0
236,Tennessee,5924.0,466485.0,14.0,0.0,,,,0.0,13973.0,356.0,0.0,0.012699229342851325,0.0,,,,0.0,0.025477707006369428,0.0
237,Texas,60740.0,1798597.0,14.0,0.0,,,,4.0,66055.0,2219.0,0.0,0.033770766881074527,0.0,,,,6.0555597608053896e-05,0.033593217773067896,0.0
238,Utah,19022.0,933318.0,14.0,0.0,,,,3.0,29696.0,600.0,0.0,0.020381049117235497,0.0,,,,0.00010102370689655172,0.020204741379310345,0.0
239,Vermont,3193.0,127978.0,14.0,0.0,,,,0.0,6109.0,191.0,0.0,0.02494960071262248,0.0,,,,0.0,0.03126534621050908,0.0
240,Virginia,98104.0,4285774.0,14.0,0.0,,,,3.0,10793.0,212.0,0.0,0.02289061439077282,0.0,,,,0.0002779579356990642,0.01964236078940054,0.0
241,Washington,2102.0,192252.0,14.0,0.0,,,,10.0,16627.0,320.0,0.0,0.010933566360818093,0.0,,,,0.0006014314067480604,0.019245805015937933,0.0
242,West Virginia,14162.0,718752.0,14.0,0.0,,,,0.0,20892.0,272.0,0.0,0.019703597346511732,0.0,,,,0.0,0.013019337545471951,0.0
243,Wisconsin,5994.0,270875.0,14.0,0.0,,,,4.0,6477.0,427.0,1.0,0.022128287955699124,0.0,,,,0.0006175698625907056,0.06592558283155782,0.0001543924656476764
244,Wyoming,3134.0,246511.0,14.0,0.0,,,,0.0,1154.0,102.0,0.0,0.012713428609676647,0.0,,,,0.0,0.08838821490467938,0.0
