,Season_Year,REGION,ILITOTAL,TOTAL PATIENTS,Season
114,22012,Louisiana,45248.0,1391307.0,Season 2012-13
115,22012,Maine,3042.0,290408.0,Season 2012-13
116,22012,Maryland,6838.0,306714.0,Season 2012-13
117,22012,Massachusetts,16446.0,1317834.0,Season 2012-13
118,22012,Michigan,12153.0,671555.0,Season 2012-13
119,22012,Minnesota,2930.0,221388.0,Season 2012-13
120,22012,Mississippi,32458.0,718230.0,Season 2012-13
121,22012,Missouri,6728.0,313603.0,Season 2012-13
122,22012,Montana,434.0,113688.0,Season 2012-13
123,22012,Nebraska,5425.0,129445.0,Season 2012-13
124,22012,Nevada,7215.0,531811.0,Season 2012-13
125,22012,New Hampshire,963.0,186985.0,Season 2012-13
126,22012,New Jersey,5544.0,228406.0,Season 2012-13
127,22012,New Mexico,8937.0,376887.0,Season 2012-13
128,22012,New York,10570.0,597473.0,Season 2012-13
129,22012,North Carolina,12737.0,698604.0,Season 2012-13
130,22012,North Dakota,1861.0,64437.0,Season 2012-13
131,22012,Ohio,7624.0,588569.0,Season 2012-13
132,22012,Oklahoma,5095.0,176074.0,Season 2012-13
133,22012,Oregon,1544.0,135087.0,Season 2012-13
134,22012,Pennsylvania,12931.0,730694.0,Season 2012-13
135,22012,Rhode Island,1858.0,284106.0,Season 2012-13
136,22012,South Carolina,2915.0,307750.0,Season 2012-13
137,22012,South Dakota,2417.0,182479.0,Season 2012-13
138,22012,Tennessee,8173.0,515751.0,Season 2012-13
139,22012,Texas,63467.0,1903966.0,Season 2012-13
140,22012,Utah,21538.0,901997.0,Season 2012-13
141,22012,Vermont,3234.0,125554.0,Season 2012-13
142,22012,Virginia,81328.0,3556795.0,Season 2012-13
143,22012,Washington,2863.0,300381.0,Season 2012-13
144,22012,West Virginia,7624.0,628994.0,Season 2012-13
145,22012,Wisconsin,1793.0,185599.0,Season 2012-13
146,22012,Wyoming,2945.0,199532.0,Season 2012-13
147,22013,Alabama,13407.0,513811.0,Season 2013-14
148,22013,Alaska,948.0,93075.0,Season 2013-14
149,22013,Arizona,16153.0,1102430.0,Season 2013-14
150,22013,Arkansas,3471.0,137582.0,Season 2013-14
151,22013,California,40989.0,1697381.0,Season 2013-14
152,22013,Colorado,8988.0,951461.0,Season 2013-14
153,22013,Connecticut,2402.0,131446.0,Season 2013-14
154,22013,Delaware,1090.0,89554.0,Season 2013-14
155,22013,Georgia,16351.0,1431141.0,Season 2013-14
156,22013,Hawaii,1985.0,73410.0,Season 2013-14
157,22013,Idaho,1879.0,115428.0,Season 2013-14
158,22013,Illinois,49186.0,2580550.0,Season 2013-14
159,22013,Indiana,4829.0,377583.0,Season 2013-14
160,22013,Iowa,3444.0,1263532.0,Season 2013-14
161,22013,Kansas,4191.0,276290.0,Season 2013-14
162,22013,Kentucky,3859.0,855614.0,Season 2013-14
163,22013,Louisiana,45431.0,1636093.0,Season 2013-14
164,22013,Maine,2420.0,259443.0,Season 2013-14
165,22013,Maryland,5440.0,448418.0,Season 2013-14
166,22013,Massachusetts,13998.0,1355280.0,Season 2013-14
167,22013,Michigan,10952.0,654238.0,Season 2013-14
168,22013,Minnesota,3040.0,221085.0,Season 2013-14
169,22013,Mississippi,27545.0,834806.0,Season 2013-14
170,22013,Missouri,4716.0,293474.0,Season 2013-14
171,22013,Montana,291.0,106455.0,Season 2013-14
172,22013,Nebraska,1267.0,101323.0,Season 2013-14
173,22013,Nevada,9131.0,726583.0,Season 2013-14
174,22013,New Hampshire,467.0,179911.0,Season 2013-14
175,22013,New Jersey,9272.0,417025.0,Season 2013-14
176,22013,New Mexico,11610.0,475959.0,Season 2013-14
177,22013,New York,10188.0,670418.0,Season 2013-14
178,22013,North Carolina,7761.0,559484.0,Season 2013-14
179,22013,North Dakota,681.0,70831.0,Season 2013-14
180,22013,Ohio,4938.0,632449.0,Season 2013-14
181,22013,Oklahoma,5307.0,174069.0,Season 2013-14
182,22013,Oregon,1094.0,130808.0,Season 2013-14
183,22013,Pennsylvania,7753.0,626727.0,Season 2013-14
184,22013,Rhode Island,1298.0,275918.0,Season 2013-14
185,22013,South Carolina,1587.0,272596.0,Season 2013-14
186,22013,South Dakota,2633.0,223928.0,Season 2013-14
187,22013,Tennessee,5119.0,479688.0,Season 2013-14
