REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Vermont,2010,42,45,11,3036
States,Virginia,2010,42,758,84,61855
States,Washington,2010,42,28,15,3096
States,West Virginia,2010,42,134,33,8777
States,Wisconsin,2010,42,69,43,5807
States,Wyoming,2010,42,23,28,5206
States,Alabama,2010,43,274,36,12036
States,Alaska,2010,43,18,8,1860
States,Arizona,2010,43,233,52,26215
States,Arkansas,2010,43,12,14,2901
States,California,2010,43,666,130,34733
States,Colorado,2010,43,175,11,19238
States,Connecticut,2010,43,16,22,4797
States,Delaware,2010,43,19,14,4126
States,Georgia,2010,43,881,60,36901
States,Hawaii,2010,43,27,18,1715
States,Idaho,2010,43,58,12,4531
States,Illinois,2010,43,623,79,42741
States,Indiana,2010,43,76,45,13079
States,Iowa,2010,43,9,10,4912
States,Kansas,2010,43,53,43,9850
States,Kentucky,2010,43,27,15,17987
States,Louisiana,2010,43,326,39,16904
States,Maine,2010,43,22,30,6501
States,Maryland,2010,43,146,20,11517
States,Massachusetts,2010,43,228,52,29092
States,Michigan,2010,43,152,51,16496
States,Minnesota,2010,43,42,18,6586
States,Mississippi,2010,43,538,47,17090
States,Missouri,2010,43,91,31,9482
States,Montana,2010,43,1,7,2748
States,Nebraska,2010,43,60,14,2916
States,Nevada,2010,43,241,34,11238
States,New Hampshire,2010,43,10,29,5593
States,New Jersey,2010,43,216,23,7734
States,New Mexico,2010,43,190,24,8068
States,New York,2010,43,53,98,14764
States,North Carolina,2010,43,136,74,26606
States,North Dakota,2010,43,18,20,5306
States,Ohio,2010,43,57,49,17298
States,Oklahoma,2010,43,48,18,2873
States,Oregon,2010,43,52,22,6917
States,Pennsylvania,2010,43,133,65,18442
States,Rhode Island,2010,43,22,21,6818
States,South Carolina,2010,43,31,22,7410
States,South Dakota,2010,43,44,19,5491
States,Tennessee,2010,43,51,52,12698
States,Texas,2010,43,1117,96,50622
States,Utah,2010,43,46,15,6085
States,Vermont,2010,43,47,11,3255
States,Virginia,2010,43,763,83,60125
States,Washington,2010,43,30,15,3141
States,West Virginia,2010,43,173,32,9549
States,Wisconsin,2010,43,53,46,5245
States,Wyoming,2010,43,22,27,4487
States,Alabama,2010,44,342,35,12069
States,Alaska,2010,44,13,8,1901
States,Arizona,2010,44,312,55,26313
States,Arkansas,2010,44,57,19,5228
States,California,2010,44,887,131,35153
States,Colorado,2010,44,193,12,19862
States,Connecticut,2010,44,19,20,4789
States,Delaware,2010,44,9,14,4048
States,Georgia,2010,44,1033,62,38891
States,Hawaii,2010,44,27,18,1522
States,Idaho,2010,44,88,13,4816
States,Illinois,2010,44,625,79,41966
States,Indiana,2010,44,107,42,12704
States,Iowa,2010,44,18,10,5017
States,Kansas,2010,44,49,43,10181
States,Kentucky,2010,44,38,15,13118
States,Louisiana,2010,44,492,39,17513
States,Maine,2010,44,9,29,5100
States,Maryland,2010,44,147,20,10111
States,Massachusetts,2010,44,225,53,27695
States,Michigan,2010,44,138,51,15983
States,Minnesota,2010,44,50,18,6205
States,Mississippi,2010,44,550,45,16390
States,Missouri,2010,44,100,31,8564
States,Montana,2010,44,1,7,2468
States,Nebraska,2010,44,11,14,2920
States,Nevada,2010,44,204,35,11541
States,New Hampshire,2010,44,17,30,5775
States,New Jersey,2010,44,113,25,6179
States,New Mexico,2010,44,151,20,6345
